"name","adp","value1","pos"
"Nate Washington",160,-62.7121212121212,"WR"
"Dexter McCluster",160,-62.9121212121212,"WR"
"Markus Wheaton",160,-63.3121212121212,"WR"
"Keenan Allen",160,-64.1121212121212,"WR"
"Jarius Wright",160,-68.3121212121212,"WR"
"Leonard Hankerson",160,-71.1121212121212,"WR"
"Kenny Stills",160,-71.5121212121212,"WR"
"Brian Quick",160,-74.4121212121212,"WR"
"Jason Avant",160,-74.5121212121212,"WR"
"Brandon Stokley",160,-74.7121212121212,"WR"
"Braylon Edwards",160,-74.9121212121212,"WR"
"Jacoby Ford",160,-74.9121212121212,"WR"
"Terrance Williams",160,-76.4121212121212,"WR"
"Earl Bennett",160,-77.9121212121212,"WR"
"Harry Douglas",160,-79.2121212121212,"WR"
"Julian Edelman",160,-79.3121212121212,"WR"
"Laurent Robinson",160,-79.5121212121212,"WR"
"Doug Baldwin",160,-79.6121212121212,"WR"
"Andrew Hawkins",160,-80.4121212121212,"WR"
"Domenik Hixon",160,-80.4121212121212,"WR"
"T.J. Graham",160,-81.1121212121212,"WR"
"Eddie Royal",160,-81.3121212121212,"WR"
"Damaris Johnson",160,-81.9121212121212,"WR"
"Jon Baldwin",160,-81.9121212121212,"WR"
"Austin Pettis",160,-82.2121212121212,"WR"
"Kevin Ogletree",160,-83.3121212121212,"WR"
"Justin Hunter",160,-84.0121212121212,"WR"
"Juron Criner",160,-84.7121212121212,"WR"
"Randy Moss",160,-85.6121212121212,"WR"
"Jerricho Cotchery",160,-86.5121212121212,"WR"
"Percy Harvin",160,-87.3121212121212,"WR"
"Mario Manningham",160,-87.7121212121212,"WR"
"Travis Benjamin",160,-88.7121212121212,"WR"
"Michael Crabtree",160,-88.9121212121212,"WR"
"Dwayne Harris",160,-89.8121212121212,"WR"
"Jordan Shipley",160,-89.8121212121212,"WR"
"Ace Sanders",160,-90.8121212121212,"WR"
"Jerome Simpson",160,-91.0121212121212,"WR"
"A.J. Jenkins",160,-91.3121212121212,"WR"
"Marvin Jones",160,-91.9121212121212,"WR"
"Marquise Goodwin",160,-94.4121212121212,"WR"
"Tiquan Underwood",160,-94.4121212121212,"WR"
"Michael Jenkins",160,-94.5121212121212,"WR"
"Louis Murphy",160,-95.6121212121212,"WR"
"Marlon Moore",160,-95.8121212121212,"WR"
"Nick Toon",160,-96.2121212121212,"WR"
"Steve Smith",160,-96.5121212121212,"WR"
"Keshawn Martin",160,-97.1121212121212,"WR"
"Plaxico Burress",160,-97.3121212121212,"WR"
"Stedman Bailey",160,-98.1121212121212,"WR"
"Kevin Walter",160,-99.0121212121212,"WR"
"Kyle Williams",160,-99.8121212121212,"WR"
"Damian Williams",160,-99.9121212121212,"WR"
"Tandon Doss",160,-100.212121212121,"WR"
"Tommy Streeter",160,-100.512121212121,"WR"
"Deion Branch",160,-101.312121212121,"WR"
"Joseph Morgan",160,-101.412121212121,"WR"
"Charles Johnson",160,-101.612121212121,"WR"
"Mike Thomas",160,-102.012121212121,"WR"
"Jermaine Kearse",160,-103.512121212121,"WR"
"LaVon Brazill",160,-103.512121212121,"WR"
"Quinton Patton",160,-104.012121212121,"WR"
"Brice Butler",160,-104.512121212121,"WR"
"Courtney Roby",160,-104.612121212121,"WR"
"Rishard Matthews",160,-105.212121212121,"WR"
"Ramses Barden",160,-105.412121212121,"WR"
"Patrick Edwards",160,-105.512121212121,"WR"
"David Nelson",160,-105.612121212121,"WR"
"Lestar Jean",160,-105.812121212121,"WR"
"Donald Jones",160,-106.312121212121,"WR"
"Clyde Gates",160,-106.612121212121,"WR"
"Da'Rick Rogers",160,-106.712121212121,"WR"
"Josh Boyce",160,-107.112121212121,"WR"
"Ted Ginn Jr.",160,-107.412121212121,"WR"
"Robert Meachem",160,-108.612121212121,"WR"
"DeVier Posey",160,-109.212121212121,"WR"
"Mohamed Massaquoi",160,-109.312121212121,"WR"
"Cole Beasley",160,-110.512121212121,"WR"
"Mike Brown",160,-110.612121212121,"WR"
"Marcus Easley",160,-110.712121212121,"WR"
"Aldrick Robinson",160,-111.012121212121,"WR"
"Derek Hagan",160,-111.212121212121,"WR"
"Justin Brown",160,-111.312121212121,"WR"
"Russell Shepard",160,-112.512121212121,"WR"
"Josh Cribbs",160,-112.512121212121,"WR"
"Tavarres King",160,-112.512121212121,"WR"
"Deonte Thompson",160,-112.712121212121,"WR"
"Anthony Armstrong",160,-113.012121212121,"WR"
"Brad Smith",160,-113.012121212121,"WR"
"Andre Caldwell",160,-113.312121212121,"WR"
"Marquess Wilson",160,-113.812121212121,"WR"
"Drew Davis",160,-113.912121212121,"WR"
"Ryan Swope",160,-114.312121212121,"WR"
"Dane Sanzenbacher",160,-114.712121212121,"WR"
"Devin Hester",160,-115.012121212121,"WR"
"Corey Fuller",160,-115.112121212121,"WR"
"Jerrel Jernigan",160,-115.112121212121,"WR"
"Stephen Williams",160,-115.712121212121,"WR"
"Jarrett Boykin",160,-116.112121212121,"WR"
"David Reed",160,-116.312121212121,"WR"
"David Gettis",160,-116.512121212121,"WR"
"Clay Harbor",160,-116.612121212121,"WR"
"Matt Slater",160,-116.612121212121,"WR"
"Jaron Brown",160,-116.912121212121,"WR"
"Dezmon Briscoe",160,-117.112121212121,"WR"
"Brian Robiskie",160,-117.612121212121,"WR"
"Ben Obomanu",160,-117.612121212121,"WR"
"Matt Willis",160,-117.712121212121,"WR"
"Arrelious Benn",160,-117.812121212121,"WR"
"Brandon Tate",160,-118.112121212121,"WR"
"Chris Hogan",160,-118.212121212121,"WR"
"Devon Wylie",160,-118.312121212121,"WR"
"Jeff Fuller",160,-118.412121212121,"WR"
"Chaz Schilens",160,-118.512121212121,"WR"
"Lavelle Hawkins",160,-118.612121212121,"WR"
"Kevin Dorsey",160,-118.812121212121,"WR"
"Trindon Holliday",160,-118.912121212121,"WR"
"Kris Durham",160,-119.112121212121,"WR"
"Tyrone Walker",160,-119.112121212121,"WR"
"Devin Aromashodu",160,-119.712121212121,"WR"
"Aaron Mellette",160,-119.812121212121,"WR"
"Patrick Peterson",160,-119.912121212121,"WR"
"Armanti Edwards",160,-120.112121212121,"WR"
"Chad Hall",160,-120.312121212121,"WR"
"Chastin West",160,-120.512121212121,"WR"
"Chris Owusu",160,-120.512121212121,"WR"
"Deon Butler",160,-120.512121212121,"WR"
"Eric Weems",160,-120.812121212121,"WR"
"Kevin Cone",160,-121.112121212121,"WR"
"Greg Salas",160,-121.312121212121,"WR"
"Griff Whalen",160,-121.912121212121,"WR"
"Chris Harper",160,-122.212121212121,"WR"
"Armon Binns",160,-122.212121212121,"WR"
"David Gilreath",160,-122.312121212121,"WR"
"Joe Anderson",160,-122.412121212121,"WR"
"Marlon Brown",160,-122.612121212121,"WR"
"Saalim Hakim",160,-122.612121212121,"WR"
"Nathan Palmer",160,-122.712121212121,"WR"
"Preston Parker",160,-122.712121212121,"WR"
"Marvin McNutt",160,-123.112121212121,"WR"
"Toney Clemons",160,-123.212121212121,"WR"
"Kerry Taylor",160,-123.712121212121,"WR"
"Stephen Burton",160,-123.812121212121,"WR"
"Jordan Norwood",160,-123.912121212121,"WR"
"Terrance Copper",160,-125.112121212121,"WR"
"Kevin Elliott",160,-125.112121212121,"WR"
"Josh Cooper",160,-125.212121212121,"WR"
"Alan Bonner",160,-125.612121212121,"WR"
"Kealoha Pilares",160,-125.712121212121,"WR"
"Michael Preston",160,-126.012121212121,"WR"
"Laron Byrd",160,-126.212121212121,"WR"
"Ryan Whalen",160,-126.312121212121,"WR"
"Dorin Dickerson",160,-126.412121212121,"WR"
"Ricardo Lockette",160,-126.612121212121,"WR"
"LaQuan Williams",160,-126.712121212121,"WR"
"Cobi Hamilton",160,-126.812121212121,"WR"
"Tobais Palmer",160,-127.012121212121,"WR"
"Terrence Austin",160,-127.212121212121,"WR"
"Danny Coale",160,-127.312121212121,"WR"
"Mardy Gilyard",160,-128.212121212121,"WR"
"Jamar Newsome",160,-128.312121212121,"WR"
"Kassim Osgood",160,-128.412121212121,"WR"
"Joe Adams",160,-128.412121212121,"WR"
"Kris Adams",160,-128.712121212121,"WR"
"Roberto Wallace",160,-129.012121212121,"WR"
"Demarco Sampson",160,-129.112121212121,"WR"
"Nick Miller",160,-129.212121212121,"WR"
"Carlton Mitchell",160,-129.512121212121,"WR"
"Micheal Spurlock",160,-129.912121212121,"WR"
"Donte Stallworth",160,-129.912121212121,"WR"
"Brandon Kaufman",160,-129.912121212121,"WR"
"Julius Pruitt",160,-129.912121212121,"WR"
"Brett Swain",160,-129.912121212121,"WR"
"Zach Rogers",160,-129.912121212121,"WR"
"Andy Tanner",160,-129.912121212121,"WR"
"Taylor Price",160,-129.912121212121,"WR"
"Josh Bellamy",160,-129.912121212121,"WR"
"Naaman Roosevelt",160,-129.912121212121,"WR"
"Lance Lewis",160,-129.912121212121,"WR"
"Dan DePalma",160,-129.912121212121,"WR"
"Kashif Moore",160,-129.912121212121,"WR"
"Tim Toone",160,-129.912121212121,"WR"
"Greg Childs",160,-129.912121212121,"WR"
"Roy Roundtree",160,-129.912121212121,"WR"
"Jeremy Kelley",160,-129.912121212121,"WR"
"Sam McGuffie",160,-129.912121212121,"WR"
"Eric Page",160,-129.912121212121,"WR"
"Andre Holmes",160,-129.912121212121,"WR"
"Tim Benford",160,-129.912121212121,"WR"
"Lamaar Thomas",160,-129.912121212121,"WR"
"Richard Goodman",160,-129.912121212121,"WR"
"Mark Harrison",160,-129.912121212121,"WR"
"Ryan Spadola",160,-129.912121212121,"WR"
"Marc Mariani",160,-129.912121212121,"WR"
"Jarett Dillard",160,-129.912121212121,"WR"
"Jeremy Ebert",160,-129.912121212121,"WR"
"Dale Moss",160,-129.912121212121,"WR"
"Conner Vernon",160,-129.912121212121,"WR"
"Terrence Toliver",160,-129.912121212121,"WR"
"Nick Williams",160,-129.912121212121,"WR"
"Chad Bumphis",160,-129.912121212121,"WR"
"Brandon Collins",160,-129.912121212121,"WR"
"Andrew Helmick",160,-129.912121212121,"WR"
"Robert Gill",160,-129.912121212121,"WR"
"Charly Martin",160,-129.912121212121,"WR"
"Greg Orton",160,-129.912121212121,"WR"
"Junior Hemingway",160,-129.912121212121,"WR"
"Eric Rogers",160,-129.912121212121,"WR"
"Jeff Maehl",160,-129.912121212121,"WR"
"David Douglas",160,-129.912121212121,"WR"
"Mike Willie",160,-129.912121212121,"WR"
"T.J. Moe",160,-129.912121212121,"WR"
"Emory Blake",160,-129.912121212121,"WR"
"Marcus Davis",160,-129.912121212121,"WR"
"Jeremy Maclin",160,-129.912121212121,"WR"
"Perez Ashford",160,-129.912121212121,"WR"
"Rodney Smith",160,-129.912121212121,"WR"
"Danario Alexander",160,-129.912121212121,"WR"
"Isaiah Williams",160,-129.912121212121,"WR"
"Joe Webb",160,-129.912121212121,"WR"
"Kamar Aiken",160,-129.912121212121,"WR"
"Seyi Ajirotutu",160,-129.912121212121,"WR"
"Rico Richardson",160,-129.912121212121,"WR"
"Diondre Borel",160,-129.912121212121,"WR"
"Raymond Radway",160,-129.912121212121,"WR"
"Bryan Walters",160,-129.912121212121,"WR"
"Tori Gurley",160,-129.912121212121,"WR"
"Greg Jenkins",160,-129.912121212121,"WR"
"Jeremy Ross",160,-130.112121212121,"WR"
