"name","adp","value1","pos"
"Dexter McCluster",160,-79.9575757575757,"RB"
"Ryan Williams",160,-80.1575757575757,"RB"
"Knowshon Moreno",160,-80.4575757575757,"RB"
"Denard Robinson",160,-82.6575757575757,"RB"
"Christine Michael",160,-83.9575757575757,"RB"
"Joseph Randle",160,-84.0575757575757,"RB"
"Lance Dunbar",160,-86.3575757575757,"RB"
"LeGarrette Blount",160,-87.9575757575757,"RB"
"Mike Gillislee",160,-89.4575757575757,"RB"
"Justin Forsett",160,-91.6575757575757,"RB"
"Latavius Murray",160,-92.6575757575757,"RB"
"Brandon Jackson",160,-94.7575757575758,"RB"
"Donald Brown",160,-95.1575757575757,"RB"
"Stepfan Taylor",160,-96.1575757575757,"RB"
"Dion Lewis",160,-96.9575757575757,"RB"
"Ronnie Brown",160,-97.5575757575757,"RB"
"Charles Clay",160,-99.3575757575757,"RB"
"Mike Goodson",160,-99.4575757575757,"RB"
"Mike James",160,-99.5575757575757,"RB"
"John Kuhn",160,-100.657575757576,"RB"
"Jason Snelling",160,-101.357575757576,"RB"
"Evan Royster",160,-101.557575757576,"RB"
"Chris Polk",160,-101.657575757576,"RB"
"Andre Ellington",160,-102.257575757576,"RB"
"Montario Hardesty",160,-105.057575757576,"RB"
"Brian Leonard",160,-105.257575757576,"RB"
"Phillip Tanner",160,-107.057575757576,"RB"
"Shaun Draughn",160,-108.057575757576,"RB"
"Delone Carter",160,-110.357575757576,"RB"
"William Powell",160,-110.457575757576,"RB"
"Joe McKnight",160,-110.857575757576,"RB"
"Peyton Hillis",160,-111.057575757576,"RB"
"Armando Allen",160,-111.257575757576,"RB"
"Jorvorski Lane",160,-111.457575757576,"RB"
"Kenjon Barner",160,-111.557575757576,"RB"
"Chris Ogbonnaya",160,-111.657575757576,"RB"
"Dennis Johnson",160,-112.557575757576,"RB"
"Vonta Leach",160,-112.857575757576,"RB"
"Brandon Bolden",160,-112.957575757576,"RB"
"Felix Jones",160,-113.757575757576,"RB"
