"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"Kirk Cousins (WAS) QB","Kirk Cousins (WAS)","QB",0.5,37,NA,NA,NA,3.7,12.4,0,103.6,60.6,674,3.7,2.5,NA,NA,NA,NA,NA,NA,NA
"Knile Davis (KC) RB","Knile Davis (KC)","RB",0.5,74.3,13.4,111.5,0.3,97.2,449.9,2.9,NA,NA,NA,NA,NA,185,NA,172,176,161,NA,169.7
"Knowshon Moreno (MIA) RB","Knowshon Moreno (MIA)","RB",1.5,118.8,30.2,239.4,1,162.7,666.5,4.2,NA,NA,NA,NA,NA,106,113,95,104,108,120,108
"Konrad Reuland TE","Konrad Reuland","TE",0,4.7,5,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kris Durham (DET) WR","Kris Durham (DET)","WR",0,33,20.3,258.1,1.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Juszczyk (BAL) RB","Kyle Juszczyk (BAL)","RB",0,12.8,6.4,40.3,0.4,11.8,42.8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Rudolph (MIN) TE","Kyle Rudolph (MIN)","TE",0,112.1,63.3,700.7,7,NA,NA,NA,NA,NA,NA,NA,NA,85,65,101,89,88,99,88.4
"Kyle Williams (KC) WR","Kyle Williams (KC)","WR",0,26.6,15,236,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lache Seastrunk (WAS) RB","Lache Seastrunk (WAS)","RB",0,28.2,3,29.4,0,40.4,186.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ladarius Green (SD) TE","Ladarius Green (SD)","TE",0,96.1,45.9,655.4,5.1,NA,NA,NA,NA,NA,NA,NA,NA,155,191,163,134,128,179,159
"Lamar Miller (MIA) RB","Lamar Miller (MIA)","RB",1,125.9,27.8,215.1,0.3,168.2,752,4.9,NA,NA,NA,NA,NA,93,95,106,90,69,106,93.2
"LaMichael James (SF) RB","LaMichael James (SF)","RB",0,6.2,3.4,26.3,0,8.6,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lance Dunbar (DAL) RB","Lance Dunbar (DAL)","RB",0,74.3,29.7,243.3,1,74.7,325.8,1.9,NA,NA,NA,NA,NA,214,NA,NA,214,162,NA,188
"Lance Kendricks (STL) TE","Lance Kendricks (STL)","TE",0,35.7,22.7,243.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lance Moore (PIT) WR","Lance Moore (PIT)","WR",0,72.5,46.1,574.8,2.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Landry Jones (PIT) QB","Landry Jones (PIT)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Larry Donnell (NYG) TE","Larry Donnell (NYG)","TE",0,10.3,7.1,80.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larry Fitzgerald (ARI) WR","Larry Fitzgerald (ARI)","WR",0,162.3,85,1077.8,9,1,5.5,0,NA,NA,NA,NA,NA,34,34,35,33,41,38,36.2
"Latavius Murray (OAK) RB","Latavius Murray (OAK)","RB",0,54,10.8,82.4,0.3,67.6,292.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lavelle Hawkins (TB) WR","Lavelle Hawkins (TB)","WR",0,13.7,11.3,137,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Le'Veon Bell (PIT) RB","Le'Veon Bell (PIT)","RB",1,196.2,47.6,364.3,1.2,261.8,1096,7.5,NA,NA,NA,NA,NA,21,21,20,22,22,15,20
"Lee Smith (BUF) TE","Lee Smith (BUF)","TE",0,6.5,6.5,64.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LeGarrette Blount (PIT) RB","LeGarrette Blount (PIT)","RB",1.5,88,9.7,71.6,0,128.2,544.4,4.9,NA,NA,NA,NA,NA,147,141,154,151,139,171,151.2
"Leon Washington (TEN) RB","Leon Washington (TEN)","RB",0,8.1,5.5,51.5,0,6,29.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leonard Hankerson (WAS) WR","Leonard Hankerson (WAS)","WR",0,26,15.9,214.8,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LeSean McCoy (PHI) RB","LeSean McCoy (PHI)","RB",2,255.2,43.3,384.9,2.5,289.5,1450.9,10.1,NA,NA,NA,NA,NA,1,1,2,2,1,2,1.6
"Lestar Jean (MIN) WR","Lestar Jean (MIN)","WR",0,9.2,6,92.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levine Toilolo (ATL) TE","Levine Toilolo (ATL)","TE",0,50.7,26.9,326.9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Paulsen (WAS) TE","Logan Paulsen (WAS)","TE",0,20.2,13.8,153.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Logan Thomas (ARI) QB","Logan Thomas (ARI)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
