"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"TJ Jones (DET) WR","TJ Jones (DET)","WR",0,10.9,8,109,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Toby Gerhart (JAC) RB","Toby Gerhart (JAC)","RB",1.5,179.3,36.8,266.8,1,269.7,1094.1,6.7,NA,NA,NA,NA,NA,45,40,60,36,37,58,46.2
"Tom Brady (NE) QB","Tom Brady (NE)","QB",3,283.1,NA,NA,NA,26,27.5,1.1,632.7,397.7,4549.1,30.3,11.7,53,75,56,35,63,52,56.2
"Tom Savage (HOU) QB","Tom Savage (HOU)","QB",1.5,46.2,NA,NA,NA,9.8,19.9,0,143.3,82.9,955.5,5.6,6.8,NA,NA,NA,NA,NA,NA,NA
"Tommy Bohanon (NYJ) RB","Tommy Bohanon (NYJ)","RB",0,13,10.5,70.5,0,8,29,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Streeter (TB) WR","Tommy Streeter (TB)","WR",0,5.7,3.8,57,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Fiammetta (CHI) RB","Tony Fiammetta (CHI)","RB",0,9.1,5,39.5,0,5.5,21.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Gonzalez TE","Tony Gonzalez","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,122,NA,NA,NA,NA,122
"Tony Moeaki (BUF) TE","Tony Moeaki (BUF)","TE",0,18.3,10.3,128.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tony Romo (DAL) QB","Tony Romo (DAL)","QB",2.5,281.2,NA,NA,NA,23.8,41.9,0.8,626.5,401,4534,31.5,15.1,81,73,93,70,101,98,87
"Torrey Smith (BAL) WR","Torrey Smith (BAL)","WR",0.5,142.1,65.8,1054,6,2,16.5,0,NA,NA,NA,NA,NA,68,56,63,73,65,80,67.4
"Travaris Cadet (NO) RB","Travaris Cadet (NO)","RB",0,45.6,23.3,178,1.1,39.3,188.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Benjamin (CLE) WR","Travis Benjamin (CLE)","WR",1,22,11.6,172.9,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce (KC) TE","Travis Kelce (KC)","TE",0.5,69.3,36.8,493,3.5,NA,NA,NA,NA,NA,NA,NA,NA,217,NA,NA,205,169,NA,187
"Tre Mason (STL) RB","Tre Mason (STL)","RB",1,60.3,20.5,169.1,0.3,79.4,363.5,1.2,NA,NA,NA,NA,NA,191,NA,191,175,153,NA,173
"Trent Richardson (IND) RB","Trent Richardson (IND)","RB",3,152.1,40.5,312.4,1,227.9,866.2,5.7,NA,NA,NA,NA,NA,71,94,51,66,61,83,71
"Troy Niklas (ARI) TE","Troy Niklas (ARI)","TE",0,25.6,14.3,177.9,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Hilton (IND) WR","Ty Hilton (IND)","WR",0.5,135.4,69.3,986.6,5.8,4.5,29.5,0,NA,NA,NA,NA,NA,64,54,68,72,58,81,66.6
"Tyler Bray (KC) QB","Tyler Bray (KC)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Tyler Clutts (DAL) RB","Tyler Clutts (DAL)","RB",0,6.8,4.5,26.5,0,3,11.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Eifert (CIN) TE","Tyler Eifert (CIN)","TE",0,71.9,41.7,508.7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,212,NA,NA,212
"Tyrod Taylor (BAL) QB","Tyrod Taylor (BAL)","QB",0,5.7,NA,NA,NA,5.5,34,0,9.5,6,57,0,0,NA,NA,NA,NA,NA,NA,NA
"Vance McDonald (SF) TE","Vance McDonald (SF)","TE",0,20.7,12.4,171.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vernon Davis (SF) TE","Vernon Davis (SF)","TE",0.5,131.3,57.7,771,9.2,NA,NA,NA,NA,NA,NA,NA,NA,47,46,42,47,57,42,46.8
"Victor Cruz (NYG) WR","Victor Cruz (NYG)","WR",0.5,151,84.2,1099.8,7,0,0,0,NA,NA,NA,NA,NA,41,31,46,51,38,40,41.2
"Vincent Brown (SD) WR","Vincent Brown (SD)","WR",0,33.1,21.6,270.5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vincent Jackson (TB) WR","Vincent Jackson (TB)","WR",0,166.5,72.9,1190.7,7.8,0.5,6,0,NA,NA,NA,NA,NA,33,33,36,38,34,35,35.2
"Virgil Green (DEN) TE","Virgil Green (DEN)","TE",0,19.6,12,165.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wes Welker (DEN) WR","Wes Welker (DEN)","WR",0.5,126.6,70.6,837.9,7.3,0,0,0,NA,NA,NA,NA,NA,44,36,50,53,47,37,44.6
"Weslye Saunders (IND) TE","Weslye Saunders (IND)","TE",0,6.8,6,68.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Johnson (PIT) RB","Will Johnson (PIT)","RB",0,10.8,11,70,0.5,2,7.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Ta'ufo'ou (JAC) RB","Will Ta'ufo'ou (JAC)","RB",0,5.6,7.5,41.5,0,4,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zac Stacy (STL) RB","Zac Stacy (STL)","RB",2,191.4,29.7,186.4,0.8,285,1185.6,8.9,NA,NA,NA,NA,NA,27,26,22,27,28,32,27
"Zach Ertz (PHI) TE","Zach Ertz (PHI)","TE",0.5,105.7,57.4,712.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,112,108,140,94,106,136,116.8
"Zach Mettenberger (TEN) QB","Zach Mettenberger (TEN)","QB",0.8,18,NA,NA,NA,2.7,2.2,0,47.3,28.2,333,2.8,2.7,NA,NA,NA,NA,NA,NA,NA
"Zach Miller (SEA) TE","Zach Miller (SEA)","TE",0,58.4,33.3,379.9,3.4,NA,NA,NA,NA,NA,NA,NA,NA,188,129,NA,NA,NA,188,158.5
"Zach Sudfeld (NYJ) TE","Zach Sudfeld (NYJ)","TE",0,21.8,14.7,187.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
