"Team","Year","Lg","Rec","WinPct","PDpG","OffPass","OffRun","DefPass","DefRun","TotOff","TotDef","ST","Total","Link"
"CRD","1991","NFL","4-12-0",0.25,-9.3,-28,-14.5,-5.2,15.5,-22.3,5.4,-1.8,-29.5,"http://www.pro-football-reference.com/teams/crd/1991.htm"
"CRD","1992","NFL","4-12-0",0.25,-5.6,-6.9,-5.6,17.2,-5.6,-6.4,6.3,1.2,-11.5,"http://www.pro-football-reference.com/teams/crd/1992.htm"
"CRD","1993","NFL","7-9-0",0.438,3.6,2.8,3.4,14.9,3.7,3,9.9,1.6,-5.2,"http://www.pro-football-reference.com/teams/crd/1993.htm"
"CRD","1994","NFL","8-8-0",0.5,-2,-11.3,-10.7,-14.2,-13.1,-11,-13.7,-2.8,-0.1,"http://www.pro-football-reference.com/teams/crd/1994.htm"
"CRD","1995","NFL","4-12-0",0.25,-9.2,-21.4,-28.6,5.8,-6.8,-24.2,-0.5,-3.2,-26.8,"http://www.pro-football-reference.com/teams/crd/1995.htm"
"CRD","1996","NFL","7-9-0",0.438,-6.1,1.6,-13.6,24.1,7.4,-4.2,16,-5.1,-25.3,"http://www.pro-football-reference.com/teams/crd/1996.htm"
"CRD","1997","NFL","4-12-0",0.25,-6,-20.3,-13.8,15.9,5.7,-17.9,10.8,-3.1,-31.9,"http://www.pro-football-reference.com/teams/crd/1997.htm"
"CRD","1998","NFL","9-7-0",0.563,-3.3,-5,-4.8,8.7,5.5,-4.9,7.2,-4.9,-17,"http://www.pro-football-reference.com/teams/crd/1998.htm"
"CRD","1999","NFL","6-10-0",0.375,-8.6,-41.3,-13.3,4.9,7.8,-30.2,6.3,-0.5,-37.1,"http://www.pro-football-reference.com/teams/crd/1999.htm"
"CRD","2000","NFL","3-13-0",0.188,-14.6,-18,-12.4,32.1,16.1,-15.9,23.4,2.1,-37.2,"http://www.pro-football-reference.com/teams/crd/2000.htm"
"CRD","2001","NFL","7-9-0",0.438,-3,11.8,-5.9,20.7,6.2,4.4,14,1,-8.6,"http://www.pro-football-reference.com/teams/crd/2001.htm"
"CRD","2002","NFL","5-11-0",0.313,-9.7,-36.6,-1.8,21.4,3,-22.3,12.8,-5.6,-40.6,"http://www.pro-football-reference.com/teams/crd/2002.htm"
"CRD","2003","NFL","4-12-0",0.25,-14.2,-21,-13,29.9,4.5,-17.7,17.8,-3.7,-39.1,"http://www.pro-football-reference.com/teams/crd/2003.htm"
"CRD","2004","NFL","6-10-0",0.375,-2.4,-24.3,-16.2,-5.2,3.9,-20.6,-1.1,-5.1,-24.6,"http://www.pro-football-reference.com/teams/crd/2004.htm"
"CRD","2005","NFL","5-11-0",0.313,-4.8,1.3,-25.9,0.3,4.3,-7.8,2.1,-3.6,-13.5,"http://www.pro-football-reference.com/teams/crd/2005.htm"
"CRD","2006","NFL","5-11-0",0.313,-4.7,3.1,-16.9,15.7,2.5,-5.3,9.8,-5.6,-20.7,"http://www.pro-football-reference.com/teams/crd/2006.htm"
"CRD","2007","NFL","8-8-0",0.5,0.3,-0.2,-11.5,6.5,4.4,-4.7,5.6,-6.4,-16.8,"http://www.pro-football-reference.com/teams/crd/2007.htm"
"CRD","2008","NFL","9-7-0",0.563,0.1,20,-8.6,12.1,-2.5,10.3,5.6,-4.5,0.2,"http://www.pro-football-reference.com/teams/crd/2008.htm"
"CRD","2009","NFL","10-6-0",0.625,3.1,1.9,-1.1,-3.9,4.5,0.8,-0.6,3.4,4.8,"http://www.pro-football-reference.com/teams/crd/2009.htm"
"CRD","2010","NFL","5-11-0",0.313,-9.1,-41.6,-4.6,5.8,8.8,-28.9,7.3,2.7,-33.5,"http://www.pro-football-reference.com/teams/crd/2010.htm"
"CRD","2011","NFL","8-8-0",0.5,-2.3,-23.1,1.7,7.4,6.2,-13.4,6.9,3.1,-17.2,"http://www.pro-football-reference.com/teams/crd/2011.htm"
"CRD","2012","NFL","5-11-0",0.313,-6.7,-38.5,-18.8,-25.7,-2.7,-31.7,-14.5,2.9,-14.2,"http://www.pro-football-reference.com/teams/crd/2012.htm"
"CRD","2013","NFL","10-6-0",0.625,3.4,-1,-6.6,-15.2,-13.7,-3.3,-14.6,-2.7,8.7,"http://www.pro-football-reference.com/teams/crd/2013.htm"
"DAL","1960","NFL","0-11-1",0.042,-16,-20,-15.3,18.1,16.9,-17.9,17.4,-1.1,-36.4,"http://www.pro-football-reference.com/teams/dal/1960.htm"
"DAL","1961","NFL","4-9-1",0.321,-10.3,-14.6,-2,12.3,22.5,-8.6,18.1,-3.3,-30,"http://www.pro-football-reference.com/teams/dal/1961.htm"
"DAL","1962","NFL","5-8-1",0.393,-0.3,9.8,5.8,23.5,3,7.7,14.2,-1.2,-7.7,"http://www.pro-football-reference.com/teams/dal/1962.htm"
"DAL","1963","NFL","4-10-0",0.286,-5.2,-2.8,7,20.8,9.1,2.1,14.7,3.9,-8.7,"http://www.pro-football-reference.com/teams/dal/1963.htm"
"DAL","1964","NFL","5-8-1",0.393,-2.8,-35.8,-6.2,-5.7,-18.1,-21.8,-12,3.8,-6,"http://www.pro-football-reference.com/teams/dal/1964.htm"
"DAL","1965","NFL","7-7-0",0.5,3.2,-17.5,-11.4,3.6,-11.1,-14.4,-3.4,5.8,-5.2,"http://www.pro-football-reference.com/teams/dal/1965.htm"
"DAL","1966","NFL","10-3-1",0.75,14.7,21.7,16.9,-2.2,-13.3,19.2,-6.7,-4.2,21.8,"http://www.pro-football-reference.com/teams/dal/1966.htm"
"DAL","1967","NFL","9-5-0",0.643,5.3,-10.2,-2.8,-14.1,-13.8,-6.5,-14,0.5,8.1,"http://www.pro-football-reference.com/teams/dal/1967.htm"
"DAL","1968","NFL","12-2-0",0.857,17.5,21.9,12.8,-12.6,-19.8,17.1,-15.7,6.7,39.5,"http://www.pro-football-reference.com/teams/dal/1968.htm"
"DAL","1969","NFL","11-2-1",0.821,10.4,4,3.3,-16.3,-19.7,3.6,-17.6,-0.2,21,"http://www.pro-football-reference.com/teams/dal/1969.htm"
"DAL","1970","NFL","10-4-0",0.714,5.6,6.3,6.5,-29.4,0.8,6.4,-14.7,3.6,24.7,"http://www.pro-football-reference.com/teams/dal/1970.htm"
"DAL","1971","NFL","11-3-0",0.786,13.1,33.9,15.3,-10.5,-12.4,23.3,-11.3,1.7,36.3,"http://www.pro-football-reference.com/teams/dal/1971.htm"
"DAL","1972","NFL","10-4-0",0.714,5.6,-2.5,6.2,-9.9,-11.5,2.3,-10.7,-2,11,"http://www.pro-football-reference.com/teams/dal/1972.htm"
"DAL","1973","NFL","10-4-0",0.714,12.8,21.4,10,-21.1,-16.7,14.6,-18.8,-2.1,31.3,"http://www.pro-football-reference.com/teams/dal/1973.htm"
"DAL","1974","NFL","8-6-0",0.571,4.4,13.4,17.2,0.2,-16.2,15.5,-8.3,-0.7,23,"http://www.pro-football-reference.com/teams/dal/1974.htm"
