"year","rd","result","team1","team2","score1","score2","pk1","pk2","et"
2006,"R16","Spain  -  France  1-3    (June 27, AWD Arena) ","Spain","France",1,3,FALSE,FALSE,FALSE
2006,"QF","Italy  -  Ukraine  3-0    (June 30, AOL Arena) ","Italy","Ukraine",3,0,FALSE,FALSE,FALSE
2006,"QF","Germany*  -  Argentina  1-1 A.E.T    (June 30, Olympiastadion) ","Germany","Argentina",1,1,TRUE,FALSE,TRUE
2006,"QF","England  -  Portugal*  0-0 A.E.T    (July 1, Arena Auf Schalke) ","England","Portugal",0,0,FALSE,TRUE,TRUE
2006,"QF","Brazil  -  France  0-1    (July 1, Waldstadion) ","Brazil","France",0,1,FALSE,FALSE,FALSE
2006,"SF","Germany  -  Italy  0-2 A.E.T    (July 4, Westfalenstadion) ","Germany","Italy",0,2,FALSE,FALSE,TRUE
2006,"SF","Portugal  -  France  0-1    (July 5, Allianz Arena) ","Portugal","France",0,1,FALSE,FALSE,FALSE
2006,"CG","Germany  -  Portugal  3-1    (July 8, Gottlieb-Daimler-Stadion) ","Germany","Portugal",3,1,FALSE,FALSE,FALSE
2006,"F","Italy*  -  France  1-1 A.E.T    (July 9, Olympiastadion) ","Italy","France",1,1,TRUE,FALSE,TRUE
2002,"A","France  -  Senegal  0-1    (May 31, Seoul World Cup Stadium) ","France","Senegal",0,1,FALSE,FALSE,FALSE
2002,"A","Uruguay  -  Denmark  1-2    (June 1, Munsu Football Stadium) ","Uruguay","Denmark",1,2,FALSE,FALSE,FALSE
2002,"A","France  -  Uruguay  0-0    (June 6, Busan Asiad Main Stadium) ","France","Uruguay",0,0,FALSE,FALSE,FALSE
2002,"A","Denmark  -  Senegal  1-1    (June 6, Daegu World Cup Stadium) ","Denmark","Senegal",1,1,FALSE,FALSE,FALSE
2002,"A","Denmark  -  France  2-0    (June 11, Incheon Munhak Stadium) ","Denmark","France",2,0,FALSE,FALSE,FALSE
2002,"A","Senegal  -  Uruguay  3-3    (June 11, Suwon World Cup Stadium) ","Senegal","Uruguay",3,3,FALSE,FALSE,FALSE
2002,"B","Paraguay  -  South Africa  2-2    (June 2, Busan Asiad Main Stadium) ","Paraguay","South Africa",2,2,FALSE,FALSE,FALSE
